@relation 'training_keyboard-weka.filters.unsupervised.attribute.Remove-R12,25-28,30-weka.filters.unsupervised.attribute.Remove-R28-29'

@attribute pacman_positionX numeric
@attribute pacman_positionY numeric
@attribute width_map numeric
@attribute height_map numeric
@attribute legal_North {0,1}
@attribute legal_South {0,1}
@attribute legal_East {0,1}
@attribute legal_West {0,1}
@attribute legal_Stop {0,1}
@attribute pacman_direction {North,South,East,West,Stop}
@attribute n_ghosts numeric
@attribute ghost1_positionX numeric
@attribute ghost1_positionY numeric
@attribute ghost2_positionX numeric
@attribute ghost2_positionY numeric
@attribute ghost3_positionX numeric
@attribute ghost3_positionY numeric
@attribute ghost4_positionX numeric
@attribute ghost4_positionY numeric
@attribute ghost1_direction {North,South,East,West,Stop,None}
@attribute ghost2_direction {North,South,East,West,Stop,None}
@attribute ghost3_direction {North,South,East,West,Stop,None}
@attribute ghost4_direction {North,South,East,West,Stop,None}
@attribute n_food numeric
@attribute next_step {North,South,East,West}
@attribute score numeric
@attribute score1 numeric

@data
16,5,28,29,0,0,1,1,1,East,4,10,15,13,15,14,15,17,15,Stop,Stop,Stop,Stop,0,East,-7,-8
17,5,28,29,0,0,1,1,1,East,4,10,15,13,15,14,15,17,15,Stop,Stop,Stop,Stop,0,East,-8,-9
18,5,28,29,1,0,0,1,1,East,4,10,15,13,15,14,15,17,15,Stop,Stop,Stop,Stop,0,North,-9,-10
18,6,28,29,1,1,0,0,1,North,4,10,15,13,15,14,15,17,15,Stop,Stop,Stop,Stop,0,North,-10,-11
18,7,28,29,1,1,0,0,1,North,4,10,15,13,15,14,15,17,15,Stop,Stop,Stop,Stop,0,North,-11,-12
18,8,28,29,0,1,1,1,1,North,4,10,15,13,15,14,15,17,15,Stop,Stop,Stop,Stop,0,West,-12,-13
17,8,28,29,0,0,1,1,1,West,4,10,15,13,15,14,15,17,15,Stop,Stop,Stop,Stop,0,West,-13,-14
16,8,28,29,0,0,1,1,1,West,4,10,15,13,15,14,15,17,15,Stop,Stop,Stop,Stop,0,West,-14,-15
15,8,28,29,1,0,1,1,1,West,4,10,15,13,15,14,15,17,15,Stop,Stop,Stop,Stop,0,North,-15,-16
15,9,28,29,1,1,0,0,1,North,4,10,15,13,15,14,15,17,15,Stop,Stop,Stop,Stop,0,North,-16,-17
15,10,28,29,1,1,0,0,1,North,4,10,15,13,15,14,15,17,15,Stop,Stop,Stop,Stop,0,North,-17,-18
15,11,28,29,0,1,1,0,1,North,4,10,15,13,15,14,15,17,15,Stop,Stop,Stop,Stop,0,East,-18,-19
16,11,28,29,0,0,1,1,1,East,4,10,15,13,15,14,15,17,15,Stop,Stop,Stop,Stop,0,East,-19,-20
17,11,28,29,0,0,1,1,1,East,4,10,15,13,15,14,15,17,15,Stop,Stop,Stop,Stop,0,East,-20,-21
18,11,28,29,0,0,1,1,1,East,4,10,15,13,15,14,15,17,15,Stop,Stop,Stop,Stop,0,East,-21,-22
19,11,28,29,1,0,1,1,1,East,4,10,15,13,15,14,15,17,15,Stop,Stop,Stop,Stop,0,North,-22,-23
19,12,28,29,1,1,0,0,1,North,4,10,15,13,15,14,15,17,15,Stop,Stop,Stop,Stop,0,North,-23,-24
19,13,28,29,1,1,0,1,1,North,4,10,15,13,15,14,15,17,15,Stop,Stop,Stop,Stop,0,North,-24,-25
19,14,28,29,1,1,0,0,1,North,4,10,15,13,15,14,15,17,15,Stop,Stop,Stop,Stop,0,North,-25,-26
19,15,28,29,1,1,1,0,1,North,4,10,15,13,15,14,15,17,15,Stop,Stop,Stop,Stop,0,North,-26,-27
19,16,28,29,1,1,0,0,1,North,4,10,15,13,15,14,15,17,15,Stop,Stop,Stop,Stop,0,North,-27,-28
19,17,28,29,0,1,0,1,1,North,4,10,15,13,15,14,15,17,15,Stop,Stop,Stop,Stop,0,West,-28,-29
18,17,28,29,0,0,1,1,1,West,4,10,15,13,15,14,15,17,15,Stop,Stop,Stop,Stop,0,West,-29,-30
17,17,28,29,0,0,1,1,1,West,4,10,15,13,15,14,15,17,15,Stop,Stop,Stop,Stop,0,West,-30,-31
16,17,28,29,0,0,1,1,1,West,4,10,15,13,15,14,15,17,15,Stop,Stop,Stop,Stop,0,West,-31,-32
15,17,28,29,1,0,1,1,1,West,4,10,15,13,15,14,15,17,15,Stop,Stop,Stop,Stop,0,West,-32,-33
14,17,28,29,0,1,1,1,1,West,4,10,15,13,15,14,15,17,15,Stop,Stop,Stop,Stop,0,South,-33,-34
14,16,28,29,1,1,0,1,1,South,4,10,15,13,15,14,15,17,15,Stop,Stop,Stop,Stop,0,South,-34,165
14,15,28,29,1,0,1,1,1,South,4,10,15,13,15,5,1,17,15,Stop,Stop,Stop,Stop,0,East,165,164
15,15,28,29,0,0,1,1,1,East,4,10,15,13,15,5,1,17,15,Stop,Stop,Stop,Stop,0,East,164,163
16,15,28,29,0,0,1,1,1,East,4,10,15,13,15,5,1,17,15,Stop,Stop,Stop,Stop,0,East,163,362
17,15,28,29,0,0,0,1,1,East,4,10,15,13,15,5,1,7,1,Stop,Stop,Stop,Stop,0,West,362,361
16,15,28,29,0,0,1,1,1,West,4,10,15,13,15,5,1,7,1,Stop,Stop,Stop,Stop,0,West,361,360
15,15,28,29,0,0,1,1,1,West,4,10,15,13,15,5,1,7,1,Stop,Stop,Stop,Stop,0,West,360,359
14,15,28,29,1,0,1,1,1,West,4,10,15,13,15,5,1,7,1,Stop,Stop,Stop,Stop,0,West,359,558
9,1,20,9,0,0,1,1,1,Stop,4,8,5,10,5,11,5,17,7,Stop,Stop,Stop,Stop,68,West,-3,96
8,1,20,9,1,0,1,1,1,West,4,8,5,10,5,11,5,17,7,Stop,Stop,Stop,Stop,67,West,96,195
7,1,20,9,0,0,1,1,1,West,4,8,5,10,5,11,5,17,7,Stop,Stop,Stop,Stop,66,West,195,294
6,1,20,9,1,0,1,1,1,West,4,8,5,10,5,11,5,17,7,Stop,Stop,Stop,Stop,65,West,294,393
5,1,20,9,0,0,1,1,1,West,4,8,5,10,5,11,5,17,7,Stop,Stop,Stop,Stop,64,West,393,492
4,1,20,9,0,0,1,1,1,West,4,8,5,10,5,11,5,17,7,Stop,Stop,Stop,Stop,63,West,492,591
3,1,20,9,1,0,1,0,1,West,4,8,5,10,5,11,5,17,7,Stop,Stop,Stop,Stop,62,North,591,690
3,2,20,9,1,1,0,0,1,North,4,8,5,10,5,11,5,17,7,Stop,Stop,Stop,Stop,61,North,690,789
3,3,20,9,1,1,1,0,1,North,4,8,5,10,5,11,5,17,7,Stop,Stop,Stop,Stop,60,East,789,888
