@relation 'training_keyboard-weka.filters.unsupervised.attribute.Remove-R33-35-weka.filters.unsupervised.attribute.Reorder-R1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,32,31-weka.filters.unsupervised.attribute.Remove-R12,25-28,30-31'

@attribute pacman_positionX numeric
@attribute pacman_positionY numeric
@attribute width_map numeric
@attribute height_map numeric
@attribute legal_North {0,1}
@attribute legal_South {0,1}
@attribute legal_East {0,1}
@attribute legal_West {0,1}
@attribute legal_Stop {0,1}
@attribute pacman_direction {North,South,East,West,Stop}
@attribute n_ghosts numeric
@attribute ghost1_positionX numeric
@attribute ghost1_positionY numeric
@attribute ghost2_positionX numeric
@attribute ghost2_positionY numeric
@attribute ghost3_positionX numeric
@attribute ghost3_positionY numeric
@attribute ghost4_positionX numeric
@attribute ghost4_positionY numeric
@attribute ghost1_direction {North,South,East,West,Stop,None}
@attribute ghost2_direction {North,South,East,West,Stop,None}
@attribute ghost3_direction {North,South,East,West,Stop,None}
@attribute ghost4_direction {North,South,East,West,Stop,None}
@attribute n_food numeric
@attribute next_step {North,South,East,West}

@data
6,2,20,13,1,1,0,0,1,North,4,10,7,11,7,10,8,11,7,West,East,East,West,110,North
6,3,20,13,1,1,1,1,1,North,4,11,7,10,7,10,8,10,7,East,West,East,East,109,North
4,4,20,13,1,1,1,1,1,West,4,9,7,10,8,9,10,11,7,West,North,North,West,106,North
6,5,20,13,1,1,0,1,1,East,4,9,10,10,10,9,11,8,7,North,North,West,West,103,North
6,6,20,13,1,1,0,1,1,North,4,9,11,9,10,9,11,7,7,North,West,West,East,102,North
6,7,20,13,1,1,1,1,1,West,4,7,11,10,10,8,11,8,1,East,East,West,East,101,North
6,8,20,13,1,1,0,0,1,North,4,6,11,9,10,8,11,8,1,West,West,West,East,100,North
6,9,20,13,1,1,1,1,1,North,4,6,10,9,11,8,11,8,1,South,North,West,East,99,North
6,10,20,13,1,1,0,0,1,North,4,1,2,9,10,9,11,9,1,North,South,East,East,98,North
6,1,20,13,1,0,1,0,1,West,4,8,7,9,7,10,7,11,7,Stop,Stop,Stop,Stop,111,North
6,2,20,13,1,1,0,0,1,North,4,8,7,9,7,10,7,11,7,Stop,Stop,Stop,Stop,110,North
3,3,20,13,1,0,1,0,1,West,4,8,7,9,7,10,7,11,7,Stop,Stop,Stop,Stop,106,North
4,3,20,13,1,1,1,1,1,East,4,8,7,9,7,10,7,11,7,Stop,Stop,Stop,Stop,106,North
6,4,20,13,1,1,0,1,1,East,4,8,7,9,7,10,7,11,7,Stop,Stop,Stop,Stop,103,North
5,6,20,13,1,1,1,1,1,East,4,8,7,9,7,10,7,11,7,Stop,Stop,Stop,Stop,96,North
4,6,30,20,1,1,1,1,1,East,4,5,9,11,3,17,6,25,7,Stop,Stop,Stop,Stop,0,North
4,7,30,20,1,1,1,1,1,North,4,5,9,11,3,17,6,25,7,Stop,Stop,Stop,Stop,0,North
4,8,30,20,1,1,1,1,1,North,4,5,9,11,3,17,6,25,7,Stop,Stop,Stop,Stop,0,North
11,3,30,20,1,0,0,1,1,East,4,1,1,3,1,17,6,25,7,Stop,Stop,Stop,Stop,0,North
11,4,30,20,1,1,0,1,1,North,4,1,1,3,1,17,6,25,7,Stop,Stop,Stop,Stop,0,North
11,5,30,20,1,1,0,1,1,North,4,1,1,3,1,17,6,25,7,Stop,Stop,Stop,Stop,0,North
11,6,30,20,1,1,0,1,1,North,4,1,1,3,1,17,6,25,7,Stop,Stop,Stop,Stop,0,North
11,7,30,20,1,1,0,1,1,North,4,1,1,3,1,17,6,25,7,Stop,Stop,Stop,Stop,0,North
11,8,30,20,1,1,0,1,1,North,4,1,1,3,1,17,6,25,7,Stop,Stop,Stop,Stop,0,North
11,9,30,20,1,1,0,1,1,North,4,1,1,3,1,17,6,25,7,Stop,Stop,Stop,Stop,0,North
11,10,30,20,1,1,0,1,1,North,4,1,1,3,1,17,6,25,7,Stop,Stop,Stop,Stop,0,North
11,11,30,20,1,1,0,1,1,North,4,1,1,3,1,17,6,25,7,Stop,Stop,Stop,Stop,0,North
3,1,20,9,1,0,1,0,1,West,4,7,5,9,5,8,5,17,7,East,South,West,West,62,North
3,2,20,9,1,1,0,0,1,North,4,8,5,9,5,7,5,17,7,East,South,West,East,61,North
3,3,20,9,1,1,1,0,1,North,4,7,5,9,6,8,5,18,7,West,North,East,South,60,North
3,4,20,9,1,1,0,0,1,North,4,7,5,9,5,9,5,18,6,West,South,East,South,59,North
10,5,20,9,1,0,1,1,1,East,4,1,2,9,6,10,6,16,4,North,West,East,North,55,North
10,6,20,9,1,1,0,1,1,North,4,1,3,9,5,4,1,16,5,North,South,West,East,54,North
15,3,28,29,1,0,1,1,1,East,4,10,15,11,15,15,15,16,15,Stop,West,West,West,0,North
15,4,28,29,1,1,0,0,1,North,4,10,15,10,15,15,15,16,15,Stop,West,West,East,0,North
18,5,28,29,1,0,0,1,1,East,4,11,15,13,15,14,16,15,15,West,East,North,West,0,North
18,6,28,29,1,1,0,0,1,North,4,12,15,13,15,14,17,14,15,East,East,North,East,0,North
18,7,28,29,1,1,0,0,1,North,4,12,15,14,15,14,16,15,15,East,East,South,East,0,North
21,8,28,29,1,1,0,1,1,East,4,12,15,14,16,13,17,17,15,West,East,North,West,0,North
21,9,28,29,1,1,0,0,1,North,4,11,15,14,16,13,17,16,15,West,East,North,East,0,North
21,10,28,29,1,1,0,0,1,North,4,10,15,14,16,14,17,17,15,West,East,East,East,0,North
21,11,28,29,1,1,1,1,1,North,4,11,15,14,16,14,16,17,15,East,East,South,West,0,North
21,12,28,29,1,1,0,0,1,North,4,11,15,14,16,14,15,16,15,East,East,South,East,0,North
21,13,28,29,1,1,0,0,1,North,4,10,15,13,16,14,15,17,15,West,West,South,West,0,North
21,14,28,29,1,1,0,0,1,North,4,10,15,13,17,14,15,16,15,West,North,South,West,0,North
19,15,28,29,1,1,1,0,1,West,4,10,15,13,17,14,15,16,15,West,West,South,East,0,North
19,16,28,29,1,1,0,0,1,North,4,11,15,13,17,14,16,16,15,East,West,North,East,0,North
1,1,19,7,1,0,1,0,1,West,4,1,1,3,5,4,5,17,3,Stop,North,West,South,18,North
1,2,19,7,1,1,0,0,1,North,4,1,1,2,5,5,5,17,3,Stop,West,East,South,17,North
1,3,19,7,1,1,0,0,1,North,4,1,1,1,5,5,4,17,3,Stop,West,South,South,16,North
1,4,19,7,1,1,0,0,1,North,4,1,1,2,5,5,3,17,2,Stop,East,South,South,15,North
12,1,19,7,1,0,0,1,1,East,4,1,4,7,2,5,1,13,5,North,North,East,West,13,North
6,1,20,13,1,0,1,0,1,West,4,9,7,9,8,9,7,9,7,East,West,West,East,111,North
6,2,20,13,1,1,0,0,1,North,4,9,8,10,8,9,8,10,7,North,East,North,North,110,North
6,3,20,13,1,1,1,1,1,North,4,9,9,9,8,9,8,10,8,North,West,North,North,109,North
6,4,20,13,1,1,0,1,1,North,4,9,10,9,8,9,8,10,8,North,West,North,West,108,North
6,5,20,13,1,1,0,1,1,North,4,9,11,9,9,10,8,9,8,North,North,East,East,107,North
6,6,20,13,1,1,0,1,1,North,4,8,11,9,10,10,7,10,8,West,North,South,East,106,North
10,7,20,13,1,0,1,1,1,West,4,10,11,10,11,9,10,7,1,East,North,West,East,105,North
10,8,20,13,1,1,0,1,1,North,4,9,11,11,11,9,9,8,1,West,East,South,East,105,North
9,7,20,13,1,0,1,1,1,East,4,9,9,10,10,8,1,9,1,South,South,East,West,103,North
6,2,20,14,1,0,1,0,1,West,4,7,8,6,8,9,8,8,8,West,West,South,East,111,North
6,3,20,14,1,1,0,0,1,North,4,6,8,6,9,8,8,9,8,West,North,West,North,110,North
6,4,20,14,1,1,1,1,1,North,4,5,8,6,9,9,8,9,9,West,North,East,East,109,North
6,5,20,14,1,1,0,1,1,North,4,4,8,6,9,8,8,10,9,West,North,West,East,108,North
6,6,20,14,1,1,0,1,1,North,4,3,8,6,10,8,8,10,9,West,North,West,North,107,North
5,7,20,14,1,1,1,1,1,West,4,5,8,6,10,8,8,10,11,East,East,West,South,105,North
6,8,20,14,1,1,1,1,1,East,4,1,0,6,9,8,8,9,10,South,South,West,North,103,North
13,3,20,15,1,0,0,1,1,East,4,9,9,10,11,8,9,9,11,East,North,East,South,110,North
13,4,20,15,1,1,0,0,1,North,4,9,9,10,11,8,9,9,10,East,North,East,East,109,North
13,5,20,15,1,1,0,1,1,North,4,9,10,9,11,9,9,10,10,North,West,East,South,108,North
13,6,20,15,1,1,0,0,1,North,4,9,10,9,10,8,9,10,9,North,South,West,West,107,North
13,7,20,15,1,1,0,0,1,North,4,10,10,9,11,7,9,9,9,East,North,West,North,106,North
13,8,20,15,1,1,0,0,1,North,4,10,10,9,12,8,9,9,10,East,North,East,North,105,North
13,9,20,15,1,1,0,0,1,North,4,10,11,9,12,8,9,9,10,North,North,East,North,104,North
13,10,20,15,1,1,0,0,1,North,4,10,10,9,11,9,9,9,10,South,South,East,North,103,North
13,11,20,15,1,1,1,1,1,North,4,10,9,9,11,10,9,9,10,South,South,East,East,102,North
13,12,20,15,1,1,0,0,1,North,4,10,10,9,10,10,9,10,10,North,South,East,East,101,North
9,10,20,15,1,1,1,0,1,West,4,1,1,6,10,5,1,9,11,Stop,North,Stop,North,95,North
9,11,20,15,1,1,1,0,1,North,4,1,1,6,11,5,1,7,1,Stop,North,Stop,Stop,94,North
9,12,20,15,1,1,1,0,1,North,4,1,1,7,11,5,1,7,1,Stop,East,Stop,Stop,93,North
13,3,20,15,1,0,0,1,1,East,4,5,7,10,10,9,9,9,10,South,East,East,East,110,North
13,4,20,15,1,1,0,0,1,North,4,5,6,10,9,8,9,10,10,South,South,West,South,109,North
13,5,20,15,1,1,0,1,1,North,4,4,6,11,9,8,9,10,9,West,East,West,South,108,North
13,6,20,15,1,1,0,0,1,North,4,4,5,10,9,8,9,10,9,South,West,West,East,107,North
