@RELATION training_keyboard

    @ATTRIBUTE pacman_positionX NUMERIC
    @ATTRIBUTE pacman_positionY NUMERIC
    @ATTRIBUTE width_map NUMERIC
    @ATTRIBUTE height_map NUMERIC
    @ATTRIBUTE legal_North {0, 1}
    @ATTRIBUTE legal_South {0, 1}
    @ATTRIBUTE legal_East {0, 1}
    @ATTRIBUTE legal_West {0, 1}
    @ATTRIBUTE legal_Stop {0, 1}
    @ATTRIBUTE pacman_direction {North, South, East, West, Stop}
    @ATTRIBUTE n_ghosts NUMERIC
    @ATTRIBUTE living_ghosts NUMERIC
    @ATTRIBUTE ghost1_positionX NUMERIC
    @ATTRIBUTE ghost1_positionY NUMERIC
    @ATTRIBUTE ghost2_positionX NUMERIC
    @ATTRIBUTE ghost2_positionY NUMERIC
    @ATTRIBUTE ghost3_positionX NUMERIC
    @ATTRIBUTE ghost3_positionY NUMERIC
    @ATTRIBUTE ghost4_positionX NUMERIC
    @ATTRIBUTE ghost4_positionY NUMERIC
    @ATTRIBUTE ghost1_direction {North, South, East, West, Stop, None}
    @ATTRIBUTE ghost2_direction {North, South, East, West, Stop, None}
    @ATTRIBUTE ghost3_direction {North, South, East, West, Stop, None}
    @ATTRIBUTE ghost4_direction {North, South, East, West, Stop, None}
    @ATTRIBUTE ghost1_distance NUMERIC
    @ATTRIBUTE ghost2_distance NUMERIC
    @ATTRIBUTE ghost3_distance NUMERIC
    @ATTRIBUTE ghost4_distance NUMERIC
    @ATTRIBUTE n_food NUMERIC
    @ATTRIBUTE closest_foo NUMERIC
    @ATTRIBUTE next_step {North, South, East, West, Stop}
    @ATTRIBUTE score NUMERIC
    @ATTRIBUTE score1 NUMERIC
    @ATTRIBUTE score2 NUMERIC
    @ATTRIBUTE score3 NUMERIC


    @data
16, 15, 28, 29, 0, 0, 1, 1, 1, East, 4, 3, 10, 15, 13, 15, 5, 1, 17, 15, Stop, Stop, Stop, Stop, 6, 3, -1, 1, 0, -1, East, 163, 362, 361, 360
17, 15, 28, 29, 0, 0, 0, 1, 1, East, 4, 2, 10, 15, 13, 15, 5, 1, 7, 1, Stop, Stop, Stop, Stop, 7, 4, -1, -1, 0, -1, West, 362, 361, 360, 359
16, 15, 28, 29, 0, 0, 1, 1, 1, West, 4, 2, 10, 15, 13, 15, 5, 1, 7, 1, Stop, Stop, Stop, Stop, 6, 3, -1, -1, 0, -1, West, 361, 360, 359, 558
15, 15, 28, 29, 0, 0, 1, 1, 1, West, 4, 2, 10, 15, 13, 15, 5, 1, 7, 1, Stop, Stop, Stop, Stop, 5, 2, -1, -1, 0, -1, West, 360, 359, 558, 557
14, 15, 28, 29, 1, 0, 1, 1, 1, West, 4, 2, 10, 15, 13, 15, 5, 1, 7, 1, Stop, Stop, Stop, Stop, 4, 1, -1, -1, 0, -1, West, 359, 558, 557, 556
9, 1, 20, 9, 0, 0, 1, 1, 1, Stop, 4, 4, 8, 5, 10, 5, 11, 5, 17, 7, None, None, None, None, 5, 5, 6, 14, 68, 1, Stop, 0, -1, -2, -3
9, 1, 20, 9, 0, 0, 1, 1, 1, Stop, 4, 4, 8, 5, 10, 5, 11, 5, 17, 7, Stop, Stop, Stop, Stop, 5, 5, 6, 14, 68, 1, Stop, -1, -2, -3, 96
9, 1, 20, 9, 0, 0, 1, 1, 1, Stop, 4, 4, 8, 5, 10, 5, 11, 5, 17, 7, Stop, Stop, Stop, Stop, 5, 5, 6, 14, 68, 1, Stop, -2, -3, 96, 195
9, 1, 20, 9, 0, 0, 1, 1, 1, Stop, 4, 4, 8, 5, 10, 5, 11, 5, 17, 7, Stop, Stop, Stop, Stop, 5, 5, 6, 14, 68, 1, West, -3, 96, 195, 294
8, 1, 20, 9, 1, 0, 1, 1, 1, West, 4, 4, 8, 5, 10, 5, 11, 5, 17, 7, Stop, Stop, Stop, Stop, 4, 6, 7, 15, 67, 1, West, 96, 195, 294, 393
7, 1, 20, 9, 0, 0, 1, 1, 1, West, 4, 4, 8, 5, 10, 5, 11, 5, 17, 7, Stop, Stop, Stop, Stop, 5, 7, 8, 16, 66, 1, West, 195, 294, 393, 492
6, 1, 20, 9, 1, 0, 1, 1, 1, West, 4, 4, 8, 5, 10, 5, 11, 5, 17, 7, Stop, Stop, Stop, Stop, 6, 8, 9, 17, 65, 1, West, 294, 393, 492, 591
5, 1, 20, 9, 0, 0, 1, 1, 1, West, 4, 4, 8, 5, 10, 5, 11, 5, 17, 7, Stop, Stop, Stop, Stop, 7, 9, 10, 18, 64, 1, West, 393, 492, 591, 690
4, 1, 20, 9, 0, 0, 1, 1, 1, West, 4, 4, 8, 5, 10, 5, 11, 5, 17, 7, Stop, Stop, Stop, Stop, 8, 10, 11, 19, 63, 1, West, 492, 591, 690, 789
3, 1, 20, 9, 1, 0, 1, 0, 1, West, 4, 4, 8, 5, 10, 5, 11, 5, 17, 7, Stop, Stop, Stop, Stop, 9, 11, 12, 20, 62, 1, North, 591, 690, 789, 888
3, 2, 20, 9, 1, 1, 0, 0, 1, North, 4, 4, 8, 5, 10, 5, 11, 5, 17, 7, Stop, Stop, Stop, Stop, 8, 10, 11, 19, 61, 1, North, 690, 789, 888, 987
3, 3, 20, 9, 1, 1, 1, 0, 1, North, 4, 4, 8, 5, 10, 5, 11, 5, 17, 7, Stop, Stop, Stop, Stop, 7, 9, 10, 18, 60, 1, East, 789, 888, 987, 1086
4, 3, 20, 9, 0, 0, 1, 1, 1, East, 4, 4, 8, 5, 10, 5, 11, 5, 17, 7, Stop, Stop, Stop, Stop, 6, 8, 9, 17, 59, 1, East, 888, 987, 1086, 1185
5, 3, 20, 9, 0, 0, 1, 1, 1, East, 4, 4, 8, 5, 10, 5, 11, 5, 17, 7, Stop, Stop, Stop, Stop, 5, 7, 8, 16, 58, 1, East, 987, 1086, 1185, 1284
6, 3, 20, 9, 1, 1, 0, 1, 1, East, 4, 4, 8, 5, 10, 5, 11, 5, 17, 7, Stop, Stop, Stop, Stop, 4, 6, 7, 15, 57, 1, North, 1086, 1185, 1284, 1383
6, 4, 20, 9, 1, 1, 0, 0, 1, North, 4, 4, 8, 5, 10, 5, 11, 5, 17, 7, Stop, Stop, Stop, Stop, 3, 5, 6, 14, 56, 1, North, 1185, 1284, 1383, 1482
6, 5, 20, 9, 1, 1, 1, 1, 1, North, 4, 4, 8, 5, 10, 5, 11, 5, 17, 7, Stop, Stop, Stop, Stop, 2, 4, 5, 13, 55, 1, West, 1284, 1383, 1482, 1581
5, 5, 20, 9, 0, 0, 1, 1, 1, West, 4, 4, 8, 5, 10, 5, 11, 5, 17, 7, Stop, Stop, Stop, Stop, 3, 5, 6, 14, 54, 1, West, 1383, 1482, 1581, 1680
4, 5, 20, 9, 1, 0, 1, 1, 1, West, 4, 4, 8, 5, 10, 5, 11, 5, 17, 7, Stop, Stop, Stop, Stop, 4, 6, 7, 15, 53, 1, West, 1482, 1581, 1680, 1779
3, 5, 20, 9, 0, 1, 1, 1, 1, West, 4, 4, 8, 5, 10, 5, 11, 5, 17, 7, Stop, Stop, Stop, Stop, 5, 7, 8, 16, 52, 1, West, 1581, 1680, 1779, 1878
2, 5, 20, 9, 0, 0, 1, 1, 1, West, 4, 4, 8, 5, 10, 5, 11, 5, 17, 7, Stop, Stop, Stop, Stop, 6, 8, 9, 17, 51, 1, West, 1680, 1779, 1878, 1877
1, 5, 20, 9, 1, 1, 1, 0, 1, West, 4, 4, 8, 5, 10, 5, 11, 5, 17, 7, Stop, Stop, Stop, Stop, 7, 9, 10, 18, 50, 1, North, 1779, 1878, 1877, 1976
1, 6, 20, 9, 1, 1, 0, 0, 1, North, 4, 4, 8, 5, 10, 5, 11, 5, 17, 7, Stop, Stop, Stop, Stop, 8, 10, 11, 17, 49, 2, North, 1878, 1877, 1976, 2075
1, 7, 20, 9, 0, 1, 1, 0, 1, North, 4, 4, 8, 5, 10, 5, 11, 5, 17, 7, Stop, Stop, Stop, Stop, 9, 11, 12, 16, 49, 1, East, 1877, 1976, 2075, 2174
2, 7, 20, 9, 0, 0, 1, 1, 1, East, 4, 4, 8, 5, 10, 5, 11, 5, 17, 7, Stop, Stop, Stop, Stop, 8, 10, 11, 15, 48, 1, East, 1976, 2075, 2174, 2273
3, 7, 20, 9, 0, 0, 1, 1, 1, East, 4, 4, 8, 5, 10, 5, 11, 5, 17, 7, Stop, Stop, Stop, Stop, 7, 9, 10, 14, 47, 1, East, 2075, 2174, 2273, 2272
4, 7, 20, 9, 0, 1, 0, 1, 1, East, 4, 4, 8, 5, 10, 5, 11, 5, 17, 7, Stop, Stop, Stop, Stop, 6, 8, 9, 13, 46, 1, South, 2174, 2273, 2272, 2271
4, 6, 20, 9, 1, 1, 0, 0, 1, South, 4, 4, 8, 5, 10, 5, 11, 5, 17, 7, Stop, Stop, Stop, Stop, 5, 7, 8, 14, 45, 2, South, 2273, 2272, 2271, 2270
4, 5, 20, 9, 1, 0, 1, 1, 1, South, 4, 4, 8, 5, 10, 5, 11, 5, 17, 7, Stop, Stop, Stop, Stop, 4, 6, 7, 15, 45, 2, East, 2272, 2271, 2270, 2269
5, 5, 20, 9, 0, 0, 1, 1, 1, East, 4, 4, 8, 5, 10, 5, 11, 5, 17, 7, Stop, Stop, Stop, Stop, 3, 5, 6, 14, 45, 2, East, 2271, 2270, 2269, 2468
6, 5, 20, 9, 1, 1, 1, 1, 1, East, 4, 4, 8, 5, 10, 5, 11, 5, 17, 7, Stop, Stop, Stop, Stop, 2, 4, 5, 13, 45, 1, East, 2270, 2269, 2468, 2467
7, 5, 20, 9, 0, 0, 1, 1, 1, East, 4, 4, 8, 5, 10, 5, 11, 5, 17, 7, Stop, Stop, Stop, Stop, 1, 3, 4, 12, 45, 2, East, 2269, 2468, 2467, 2666
8, 5, 20, 9, 0, 0, 1, 1, 1, East, 4, 3, 1, 1, 10, 5, 11, 5, 17, 7, Stop, Stop, Stop, Stop, -1, 2, 3, 11, 45, 2, East, 2468, 2467, 2666, 2865
9, 5, 20, 9, 1, 1, 1, 1, 1, East, 4, 3, 1, 1, 10, 5, 11, 5, 17, 7, Stop, Stop, Stop, Stop, -1, 1, 2, 10, 45, 1, East, 2467, 2666, 2865, 2864
10, 5, 20, 9, 1, 0, 1, 1, 1, East, 4, 2, 1, 1, 3, 1, 11, 5, 17, 7, Stop, Stop, Stop, Stop, -1, -1, 1, 9, 45, 1, East, 2666, 2865, 2864, 2963
11, 5, 20, 9, 0, 0, 0, 1, 1, East, 4, 1, 1, 1, 3, 1, 5, 1, 17, 7, Stop, Stop, Stop, Stop, -1, -1, -1, 8, 45, 2, West, 2865, 2864, 2963, 3062
10, 5, 20, 9, 1, 0, 1, 1, 1, West, 4, 1, 1, 1, 3, 1, 5, 1, 17, 7, Stop, Stop, Stop, Stop, -1, -1, -1, 9, 45, 1, North, 2864, 2963, 3062, 3161
10, 6, 20, 9, 1, 1, 0, 1, 1, North, 4, 1, 1, 1, 3, 1, 5, 1, 17, 7, Stop, Stop, Stop, Stop, -1, -1, -1, 8, 44, 1, North, 2963, 3062, 3161, 3260
10, 7, 20, 9, 0, 1, 1, 1, 1, North, 4, 1, 1, 1, 3, 1, 5, 1, 17, 7, Stop, Stop, Stop, Stop, -1, -1, -1, 7, 43, 1, East, 3062, 3161, 3260, 3359
11, 7, 20, 9, 0, 0, 1, 1, 1, East, 4, 1, 1, 1, 3, 1, 5, 1, 17, 7, Stop, Stop, Stop, Stop, -1, -1, -1, 6, 42, 1, East, 3161, 3260, 3359, 3358
12, 7, 20, 9, 0, 0, 1, 1, 1, East, 4, 1, 1, 1, 3, 1, 5, 1, 17, 7, Stop, Stop, Stop, Stop, -1, -1, -1, 5, 41, 1, East, 3260, 3359, 3358, 3457
13, 7, 20, 9, 0, 1, 0, 1, 1, East, 4, 1, 1, 1, 3, 1, 5, 1, 17, 7, Stop, Stop, Stop, Stop, -1, -1, -1, 4, 40, 1, Stop, 3359, 3358, 3457, 3556
13, 7, 20, 9, 0, 1, 0, 1, 1, East, 4, 1, 1, 1, 3, 1, 5, 1, 17, 7, Stop, Stop, Stop, Stop, -1, -1, -1, 4, 40, 1, South, 3358, 3457, 3556, 3655
13, 6, 20, 9, 1, 1, 0, 0, 1, South, 4, 1, 1, 1, 3, 1, 5, 1, 17, 7, Stop, Stop, Stop, Stop, -1, -1, -1, 5, 39, 1, South, 3457, 3556, 3655, 3754
13, 5, 20, 9, 1, 1, 1, 0, 1, South, 4, 1, 1, 1, 3, 1, 5, 1, 17, 7, Stop, Stop, Stop, Stop, -1, -1, -1, 6, 38, 1, East, 3556, 3655, 3754, 3853
14, 5, 20, 9, 0, 0, 1, 1, 1, East, 4, 1, 1, 1, 3, 1, 5, 1, 17, 7, Stop, Stop, Stop, Stop, -1, -1, -1, 5, 37, 1, East, 3655, 3754, 3853, 3952
15, 5, 20, 9, 1, 0, 1, 1, 1, East, 4, 1, 1, 1, 3, 1, 5, 1, 17, 7, Stop, Stop, Stop, Stop, -1, -1, -1, 4, 36, 1, East, 3754, 3853, 3952, 4051
16, 5, 20, 9, 0, 1, 1, 1, 1, East, 4, 1, 1, 1, 3, 1, 5, 1, 17, 7, Stop, Stop, Stop, Stop, -1, -1, -1, 3, 35, 1, South, 3853, 3952, 4051, 4150
16, 4, 20, 9, 1, 1, 0, 0, 1, South, 4, 1, 1, 1, 3, 1, 5, 1, 17, 7, Stop, Stop, Stop, Stop, -1, -1, -1, 4, 34, 1, South, 3952, 4051, 4150, 4249
16, 3, 20, 9, 1, 0, 0, 1, 1, South, 4, 1, 1, 1, 3, 1, 5, 1, 17, 7, Stop, Stop, Stop, Stop, -1, -1, -1, 5, 33, 1, West, 4051, 4150, 4249, 4348
15, 3, 20, 9, 0, 1, 1, 0, 1, West, 4, 1, 1, 1, 3, 1, 5, 1, 17, 7, Stop, Stop, Stop, Stop, -1, -1, -1, 6, 32, 1, South, 4150, 4249, 4348, 4347
15, 2, 20, 9, 1, 1, 0, 0, 1, South, 4, 1, 1, 1, 3, 1, 5, 1, 17, 7, Stop, Stop, Stop, Stop, -1, -1, -1, 7, 31, 1, South, 4249, 4348, 4347, 4446
15, 1, 20, 9, 1, 0, 1, 0, 1, South, 4, 1, 1, 1, 3, 1, 5, 1, 17, 7, Stop, Stop, Stop, Stop, -1, -1, -1, 8, 30, 1, Stop, 4348, 4347, 4446, 4545
15, 1, 20, 9, 1, 0, 1, 0, 1, South, 4, 1, 1, 1, 3, 1, 5, 1, 17, 7, Stop, Stop, Stop, Stop, -1, -1, -1, 8, 30, 1, East, 4347, 4446, 4545, 4644
16, 1, 20, 9, 0, 0, 1, 1, 1, East, 4, 1, 1, 1, 3, 1, 5, 1, 17, 7, Stop, Stop, Stop, Stop, -1, -1, -1, 7, 29, 1, East, 4446, 4545, 4644, 4743
17, 1, 20, 9, 0, 0, 1, 1, 1, East, 4, 1, 1, 1, 3, 1, 5, 1, 17, 7, Stop, Stop, Stop, Stop, -1, -1, -1, 6, 28, 1, East, 4545, 4644, 4743, 4842
18, 1, 20, 9, 1, 0, 0, 1, 1, East, 4, 1, 1, 1, 3, 1, 5, 1, 17, 7, Stop, Stop, Stop, Stop, -1, -1, -1, 7, 27, 1, North, 4644, 4743, 4842, 4941
18, 2, 20, 9, 1, 1, 0, 0, 1, North, 4, 1, 1, 1, 3, 1, 5, 1, 17, 7, Stop, Stop, Stop, Stop, -1, -1, -1, 6, 26, 1, North, 4743, 4842, 4941, 5040
18, 3, 20, 9, 1, 1, 0, 0, 1, North, 4, 1, 1, 1, 3, 1, 5, 1, 17, 7, Stop, Stop, Stop, Stop, -1, -1, -1, 5, 25, 1, North, 4842, 4941, 5040, 5139
18, 4, 20, 9, 1, 1, 0, 0, 1, North, 4, 1, 1, 1, 3, 1, 5, 1, 17, 7, Stop, Stop, Stop, Stop, -1, -1, -1, 4, 24, 1, North, 4941, 5040, 5139, 5138
18, 5, 20, 9, 1, 1, 0, 1, 1, North, 4, 1, 1, 1, 3, 1, 5, 1, 17, 7, Stop, Stop, Stop, Stop, -1, -1, -1, 3, 23, 1, West, 5040, 5139, 5138, 5137
17, 5, 20, 9, 0, 0, 1, 1, 1, West, 4, 1, 1, 1, 3, 1, 5, 1, 17, 7, Stop, Stop, Stop, Stop, -1, -1, -1, 2, 22, 2, West, 5139, 5138, 5137, 5236
16, 5, 20, 9, 0, 1, 1, 1, 1, West, 4, 1, 1, 1, 3, 1, 5, 1, 17, 7, Stop, Stop, Stop, Stop, -1, -1, -1, 3, 22, 2, West, 5138, 5137, 5236, 5335
15, 5, 20, 9, 1, 0, 1, 1, 1, West, 4, 1, 1, 1, 3, 1, 5, 1, 17, 7, Stop, Stop, Stop, Stop, -1, -1, -1, 4, 22, 1, North, 5137, 5236, 5335, 5434
1, 18, 30, 20, 0, 1, 1, 0, 1, Stop, 4, 4, 5, 9, 11, 3, 17, 6, 25, 7, None, None, None, None, 13, 25, 28, 35, 0, -1, Stop, 0, -1, -2, -3
1, 18, 30, 20, 0, 1, 1, 0, 1, Stop, 4, 4, 5, 10, 11, 3, 17, 6, 25, 7, North, Stop, Stop, Stop, 12, 25, 28, 35, 0, -1, Stop, -1, -2, -3, -4
1, 18, 30, 20, 0, 1, 1, 0, 1, Stop, 4, 4, 5, 10, 11, 4, 18, 6, 25, 7, North, North, East, West, 12, 24, 29, 34, 0, -1, South, -2, -3, -4, -5
1, 17, 30, 20, 1, 1, 0, 0, 1, South, 4, 4, 5, 9, 11, 3, 19, 6, 24, 7, South, South, East, East, 12, 24, 29, 34, 0, -1, South, -3, -4, -5, -6
1, 16, 30, 20, 1, 1, 1, 0, 1, South, 4, 4, 4, 9, 11, 3, 19, 5, 25, 7, West, South, South, North, 10, 23, 29, 32, 0, -1, South, -4, -5, -6, -7
1, 15, 30, 20, 1, 1, 1, 0, 1, South, 4, 4, 5, 9, 11, 4, 19, 6, 25, 8, East, North, North, North, 10, 21, 27, 30, 0, -1, South, -5, -6, -7, -8
1, 14, 30, 20, 1, 1, 1, 0, 1, South, 4, 4, 5, 10, 10, 4, 19, 6, 25, 9, North, West, North, West, 8, 19, 26, 28, 0, -1, South, -6, -7, -8, -9
1, 13, 30, 20, 1, 1, 0, 0, 1, South, 4, 4, 6, 10, 10, 3, 20, 6, 24, 9, East, South, East, North, 8, 19, 26, 26, 0, -1, South, -7, -8, -9, -10
1, 12, 30, 20, 1, 1, 1, 0, 1, South, 4, 4, 5, 10, 9, 3, 19, 6, 24, 10, West, West, West, South, 6, 17, 24, 26, 0, -1, South, -8, -9, -10, -11
1, 11, 30, 20, 1, 1, 0, 0, 1, South, 4, 4, 5, 10, 9, 3, 19, 5, 24, 9, West, West, South, West, 5, 16, 24, 24, 0, -1, South, -9, -10, -11, -12
1, 10, 30, 20, 1, 1, 0, 0, 1, South, 4, 4, 6, 10, 9, 3, 19, 4, 23, 9, East, West, South, South, 5, 15, 24, 24, 0, -1, South, -10, -11, -12, -13
1, 9, 30, 20, 1, 1, 0, 0, 1, South, 4, 4, 6, 9, 8, 3, 19, 5, 23, 8, South, West, North, South, 5, 13, 22, 24, 0, -1, South, -11, -12, -13, -14
1, 8, 30, 20, 1, 1, 0, 0, 1, South, 4, 4, 6, 9, 8, 3, 19, 6, 23, 7, South, West, North, South, 6, 12, 20, 24, 0, -1, South, -12, -13, -14, -15
1, 7, 30, 20, 1, 1, 0, 0, 1, South, 4, 4, 6, 8, 9, 3, 20, 6, 23, 6, South, East, East, South, 6, 12, 20, 23, 0, -1, South, -13, -14, -15, -16
1, 6, 30, 20, 1, 1, 1, 0, 1, South, 4, 4, 6, 8, 10, 3, 21, 6, 23, 6, South, East, East, West, 7, 12, 20, 21, 0, -1, East, -14, -15, -16, -17
2, 6, 30, 20, 0, 1, 1, 1, 1, East, 4, 4, 6, 9, 11, 3, 20, 6, 22, 6, North, East, West, East, 7, 12, 18, 21, 0, -1, East, -15, -16, -17, -18
3, 6, 30, 20, 1, 1, 1, 1, 1, East, 4, 4, 6, 9, 10, 3, 20, 5, 23, 6, North, West, South, West, 6, 10, 18, 19, 0, -1, North, -16, -17, -18, -19
3, 7, 30, 20, 1, 1, 1, 0, 1, North, 4, 4, 6, 8, 10, 3, 20, 4, 22, 6, South, West, South, East, 4, 11, 20, 21, 0, -1, East, -17, -18, -19, 180
4, 7, 30, 20, 1, 1, 1, 1, 1, East, 4, 4, 6, 8, 9, 3, 21, 4, 23, 6, South, West, East, North, 3, 9, 20, 19, 0, -1, East, -18, -19, 180, 179
5, 7, 30, 20, 1, 1, 1, 1, 1, East, 4, 4, 5, 8, 10, 3, 21, 3, 23, 7, West, East, South, South, 1, 9, 20, 19, 0, -1, North, -19, 180, 179, 178
5, 8, 30, 20, 1, 1, 1, 1, 1, North, 4, 3, 1, 1, 11, 3, 22, 3, 23, 6, Stop, East, East, South, -1, 11, 22, 21, 0, -1, South, 180, 179, 178, 177
5, 7, 30, 20, 1, 1, 1, 1, 1, South, 4, 3, 1, 1, 11, 3, 22, 4, 23, 5, Stop, East, North, South, -1, 10, 20, 21, 0, -1, East, 179, 178, 177, 176
6, 7, 30, 20, 1, 1, 0, 1, 1, East, 4, 3, 1, 1, 11, 4, 21, 4, 23, 4, Stop, North, West, West, -1, 8, 18, 19, 0, -1, South, 178, 177, 176, 175
6, 6, 30, 20, 1, 0, 1, 1, 1, South, 4, 3, 1, 1, 11, 5, 21, 4, 22, 4, Stop, North, West, South, -1, 6, 17, 19, 0, -1, East, 177, 176, 175, 174
7, 6, 30, 20, 0, 0, 1, 1, 1, East, 4, 3, 1, 1, 11, 4, 22, 4, 22, 3, Stop, South, East, East, -1, 6, 17, 19, 0, -1, East, 176, 175, 174, 173
8, 6, 30, 20, 1, 1, 1, 1, 1, East, 4, 3, 1, 1, 10, 4, 23, 4, 23, 3, Stop, West, East, East, -1, 4, 17, 19, 0, -1, South, 175, 174, 173, 172
8, 5, 30, 20, 1, 1, 1, 0, 1, South, 4, 3, 1, 1, 11, 4, 22, 4, 24, 3, Stop, East, West, East, -1, 4, 15, 19, 0, -1, South, 174, 173, 172, 171
8, 4, 30, 20, 1, 1, 1, 0, 1, South, 4, 3, 1, 1, 11, 5, 22, 3, 25, 3, Stop, North, South, West, -1, 4, 15, 17, 0, -1, East, 173, 172, 171, 170
9, 4, 30, 20, 1, 1, 1, 1, 1, East, 4, 3, 1, 1, 11, 6, 22, 4, 24, 3, Stop, North, North, North, -1, 4, 13, 15, 0, -1, North, 172, 171, 170, 369
9, 5, 30, 20, 1, 1, 1, 1, 1, North, 4, 3, 1, 1, 11, 5, 22, 3, 24, 4, Stop, South, South, North, -1, 2, 15, 15, 0, -1, East, 171, 170, 369, 368
10, 5, 30, 20, 1, 1, 1, 1, 1, East, 4, 3, 1, 1, 11, 5, 22, 3, 24, 5, Stop, South, South, North, -1, 1, 14, 15, 0, -1, East, 170, 369, 368, 367
11, 5, 30, 20, 1, 1, 0, 1, 1, East, 4, 2, 1, 1, 3, 1, 22, 4, 24, 6, Stop, Stop, North, East, -1, -1, 12, 15, 0, -1, North, 369, 368, 367, 366
11, 6, 30, 20, 1, 1, 0, 1, 1, North, 4, 2, 1, 1, 3, 1, 22, 3, 25, 6, Stop, Stop, South, East, -1, -1, 14, 15, 0, -1, North, 368, 367, 366, 365
11, 7, 30, 20, 1, 1, 0, 1, 1, North, 4, 2, 1, 1, 3, 1, 22, 3, 26, 6, Stop, Stop, South, East, -1, -1, 15, 16, 0, -1, North, 367, 366, 365, 364
11, 8, 30, 20, 1, 1, 0, 1, 1, North, 4, 2, 1, 1, 3, 1, 22, 3, 26, 6, Stop, Stop, South, South, -1, -1, 16, 18, 0, -1, North, 366, 365, 364, 363
11, 9, 30, 20, 1, 1, 0, 1, 1, North, 4, 2, 1, 1, 3, 1, 22, 3, 26, 5, Stop, Stop, South, East, -1, -1, 17, 20, 0, -1, North, 365, 364, 363, 362
11, 10, 30, 20, 1, 1, 0, 1, 1, North, 4, 2, 1, 1, 3, 1, 22, 3, 27, 5, Stop, Stop, South, East, -1, -1, 18, 21, 0, -1, North, 364, 363, 362, 361
11, 11, 30, 20, 1, 1, 0, 1, 1, North, 4, 2, 1, 1, 3, 1, 21, 3, 27, 5, Stop, Stop, West, North, -1, -1, 18, 21, 0, -1, North, 363, 362, 361, 360
11, 12, 30, 20, 0, 1, 1, 1, 1, North, 4, 2, 1, 1, 3, 1, 21, 4, 27, 6, Stop, Stop, North, North, -1, -1, 18, 21, 0, -1, East, 362, 361, 360, 359
12, 12, 30, 20, 0, 0, 1, 1, 1, East, 4, 2, 1, 1, 3, 1, 21, 4, 27, 7, Stop, Stop, North, East, -1, -1, 17, 21, 0, -1, East, 361, 360, 359, 358
13, 12, 30, 20, 0, 1, 1, 1, 1, East, 4, 2, 1, 1, 3, 1, 21, 3, 28, 7, Stop, Stop, South, South, -1, -1, 17, 21, 0, -1, South, 360, 359, 358, 357
13, 11, 30, 20, 1, 1, 1, 0, 1, South, 4, 2, 1, 1, 3, 1, 20, 3, 28, 6, Stop, Stop, West, South, -1, -1, 15, 21, 0, -1, South, 359, 358, 357, 356
13, 10, 30, 20, 1, 1, 1, 0, 1, South, 4, 2, 1, 1, 3, 1, 21, 3, 28, 5, Stop, Stop, East, South, -1, -1, 15, 21, 0, -1, South, 358, 357, 356, 355
13, 9, 30, 20, 1, 1, 1, 0, 1, South, 4, 2, 1, 1, 3, 1, 21, 3, 28, 4, Stop, Stop, East, South, -1, -1, 14, 20, 0, -1, South, 357, 356, 355, 354
13, 8, 30, 20, 1, 1, 1, 0, 1, South, 4, 2, 1, 1, 3, 1, 20, 3, 28, 4, Stop, Stop, West, South, -1, -1, 12, 19, 0, -1, South, 356, 355, 354, 353
13, 7, 30, 20, 1, 1, 1, 0, 1, South, 4, 2, 1, 1, 3, 1, 20, 4, 28, 4, Stop, Stop, North, North, -1, -1, 10, 17, 0, -1, South, 355, 354, 353, 352
13, 6, 30, 20, 1, 1, 1, 0, 1, South, 4, 2, 1, 1, 3, 1, 21, 4, 28, 5, Stop, Stop, East, North, -1, -1, 10, 16, 0, -1, South, 354, 353, 352, 351
13, 5, 30, 20, 1, 1, 1, 0, 1, South, 4, 2, 1, 1, 3, 1, 22, 4, 28, 5, Stop, Stop, East, West, -1, -1, 10, 14, 0, -1, South, 353, 352, 351, 350
13, 4, 30, 20, 1, 1, 1, 0, 1, South, 4, 2, 1, 1, 3, 1, 23, 4, 27, 5, Stop, Stop, East, West, -1, -1, 10, 14, 0, -1, East, 352, 351, 350, 349
14, 4, 30, 20, 1, 1, 1, 1, 1, East, 4, 2, 1, 1, 3, 1, 22, 4, 26, 5, Stop, Stop, West, South, -1, -1, 8, 12, 0, -1, East, 351, 350, 349, 348
15, 4, 30, 20, 0, 1, 1, 1, 1, East, 4, 2, 1, 1, 3, 1, 22, 3, 26, 4, Stop, Stop, South, North, -1, -1, 8, 12, 0, -1, East, 350, 349, 348, 347
16, 4, 30, 20, 0, 1, 1, 1, 1, East, 4, 2, 1, 1, 3, 1, 22, 4, 26, 5, Stop, Stop, North, West, -1, -1, 6, 10, 0, -1, East, 349, 348, 347, 346
17, 4, 30, 20, 1, 1, 1, 1, 1, East, 4, 2, 1, 1, 3, 1, 21, 4, 25, 5, Stop, Stop, West, West, -1, -1, 4, 9, 0, -1, East, 348, 347, 346, 345
18, 4, 30, 20, 1, 1, 1, 1, 1, East, 4, 2, 1, 1, 3, 1, 21, 4, 25, 5, Stop, Stop, West, North, -1, -1, 3, 9, 0, -1, East, 347, 346, 345, 544
19, 4, 30, 20, 1, 1, 1, 1, 1, East, 4, 2, 1, 1, 3, 1, 21, 3, 25, 6, Stop, Stop, South, South, -1, -1, 3, 7, 0, -1, East, 346, 345, 544, 543
